artist,song,energy_level,youtube_code
Tom Petty,You Wreck Me,0.89,-3aGZZueg08
Fats Domino,I'm Walkin',0.89,oqs5gkyH930
Papa Roach,Last Resort,0.89,j0lSpNtjPM8
Iron Maiden,The Number of the Beast - 2015 Remaster,0.89,iQ5JAxPqum0
Bo Diddley,Hey! Bo Diddley,0.89,BKYSAfbOCPc
Grand Funk Railroad,We're An American Band - Remastered 2002,0.89,QxNXFNCTr2I
Rob Zombie,Feel So Numb,0.889,VK16w_Esrno
Cinderella,Shake Me,0.889,ptPekKOigkQ
Robert Cray,Don't Be Afraid Of The Dark - Live At The BBC,0.889,jdDDDIIknto
Elton John,I'm Still Standing,0.889,ZHwVBirqD2s
Jurassic 5,Canto De Ossanha,0.889,zn8Et6AbDgY
Eric B. Rakim,Don't Sweat The Technique,0.888,6Y1Emb7Jyks
Def Leppard,Let's Get Rocked,0.888,VhM_LxeKgEQ
Janet Jackson,Made For Now,0.888,seh_fZJqB94
Neneh Cherry,Natural Skin Deep,0.888,uBUCfn5aj4Y
Cutting Crew,One For The Mockingbird,0.888,kayqZRFoHLM
Sonic Youth,Sunday,0.888,2CXD8PK6Djc
Bon Jovi,Livin' On A Prayer,0.887,lDK9QqIzhwk
Led Zeppelin,Rock and Roll - Remaster,0.887,SRQ7-eSGBWc
Motorhead,God Was Never on Your Side,0.887,IJ5DWUu-MlE
Placebo,Song to Say Goodbye,0.887,e7bxXjQL3cY
Kanye West,On God,0.8859999999999999,wZ7GWw8Oy40
The Brothers Johnson,Stomp!,0.8859999999999999,tPBDMihPRJA
Cinderella,Gypsy Road,0.8859999999999999,6j7E7pvLxmI
The Game,Red Nation,0.8859999999999999,jSAwWrbdoEQ
Motorhead,Overkill,0.8859999999999999,MlzTET_8SQg
Stereo MCs,Creation,0.8859999999999999,Qnkun1HIG0M
The Mavericks,All You Ever Do Is Bring Me Down,0.8859999999999999,XamDeKZEJYo
Sham 69,Hersham Boys,0.885,CnOqRUBxnEM
A Thousand Horses,Southernality,0.885,T0smnZmfhtw
Traveling Wilburys,Poor House,0.885,fE_DImYkigw
Neneh Cherry,Shot Gun Shack,0.885,vGrXaPLX0PU
Extreme,Decadence Dance,0.885,OoKJpcROgJk
Anthrax,Madhouse,0.885,uGHsxMqpL0c
The Jam,Beat Surrender,0.885,MHP0UxBuuGQ
ABBA,Dancing Queen,0.884,xFrGuyw1V8s
Quicksilver Messenger Service,What About Me? (Rare Session),0.884,D9P8M0BlOs8
The Kooks,Bad Habit,0.884,3tUh-x-fp8Q
Luke Bryan,"Sunrise, Sunburn, Sunset",0.884,8c08Oz8AovU
Heaven 17,Temptation,0.884,xWwtMrDX2o8
Genesis,Mama - 2007 Remaster,0.884,mCF2xW7lcKI
Pat Benatar,All Fired Up,0.883,PsnYrH3BUP8
Eric B. Rakim,Know The Ledge,0.883,OPkWYTUiPTo
Genesis,Jesus He Knows Me - 2007 Remaster,0.883,hBb6kkrnIhs
Madonna,Material Girl,0.883,6p-lDYPR2P8
Neil Young,Rockin' in the Free World,0.883,TnAgc1kgvLc
Brantley Gilbert,Fire’t Up,0.883,39x_zoygIPE
Snow Patrol,Just Say Yes,0.883,vW1hv37imjw
INXS,Don't Change,0.883,sLm3Khusq_8
Evanescence,Call Me When You're Sober,0.883,_RrA-R5VHQs
Nine Inch Nails,The Perfect Drug,0.883,dn3j6-yQKWQ
Herbie Hancock,Doin' It,0.882,Eq7wSIDjAes
Leon Russell,Crystal Closet Queen,0.882,6ouV67zxUEY
Katy Perry,Never Really Over,0.882,aEb5gNsmGJ8
The Tubes,Prime Time,0.882,Jm6HQDKzImQ
Maddie Tae,Shut Up And Fish,0.882,-lH54eA4i8s
Dr Dre,Xxplosive,0.882,QagknwNl6Q4
Eddie Cochran,Summertime Blues,0.882,In7z7B87Puc
Iron Maiden,Hallowed Be Thy Name - 2015 Remaster,0.882,HAQQUDbuudY
Jay-Z,Ni**as In Paris,0.882,gG_dA32oH44
The Cadillac Three,All The Makin’s Of A Saturday Night,0.882,4MKh-wvRPbQ
Phil Manzanera,Héroe de leyenda - Nueva mezcla 2000 Remastered Version,0.882,7lAa9SF8Wv8
Gong,Make It Bun Dem,0.8809999999999999,BGpzGu9Yp6Y
Simple Minds,Let There Be Love - 2002 Digital Remaster,0.8809999999999999,Lzy9u1fck0g
Big Country,In A Big Country - Radio Edit,0.8809999999999999,QRDgRLkIUUo
Jr. Walker The All Stars,Tally Ho!,0.88,XCYvnDuSFfs
Sham 69,Hey Little Rich Boy,0.88,h9qgQDXKJbo
Paul Simon,Late in the Evening,0.88,H4mEpV8OkzQ
Sonic Youth,100%,0.88,N3gN9Up6hmc
Kiss,Love Gun,0.879,trR5ROuf1Uk
Counting Crows,Rain King,0.879,izeDRfkyMAQ
EPMD,I'm Housin',0.879,_eLDzovFa70
Kip Moore,I'm To Blame,0.878,0Pck0IQPsoY
Fats Domino,Jambalaya (On The Bayou) - Remastered 2002,0.878,h4cbQ0vkZoM
Disclosure,White Noise,0.878,bkk2H3Ztrfk
Genesis,Invisible Touch - 2007 Remaster,0.878,q5zAXDgAK2k
N.W.A,Alwayz Into Somethin',0.878,RxAEXUyGM94
Little Big Town,Little White Church,0.878,B077Dw_zDe0
Janes Addiction,Jane Says - Live,0.877,Z0hFQdEUQKM
Def Leppard,Photograph,0.877,D4dHr8evt6k
Badfinger,Baby Blue - Remastered 2010,0.877,33oAuvbRg-c
Kate Bush,The Big Sky - Special Single Mix,0.877,_lsjXdH1tNY
The Rolling Stones,Beast Of Burden - Remastered,0.877,RlV-ZFyVH3c
Tom Jones,She's A Lady,0.8759999999999999,V43fGInXiLE
Helmet,Wilma's Rainbow,0.8759999999999999,k3a8Ow-DoAw
Sly Robbie,Groovy Vampire - Sly & Robbie Remix,0.8759999999999999,CfSB0kvG4a8
Stereo MCs,Fade Away,0.875,RgEyg9ug3q0
Sham 69,Borstal Breakout,0.875,UD_y44jsG0A
Status Quo,"Fun, Fun, Fun",0.875,bcPEbbgC0Zc
Pearl Jam,Alive,0.875,qM0zINtulhM
Brenda Holloway,Baby I've Got It,0.875,EZzPtpX6EMo
Rick James,You And I,0.875,dWZkxYamLUs
N.W.A,Straight Outta Compton,0.8740000000000001,TMZi25Pq3T8
Johnny Gill,Rub You The Right Way,0.8740000000000001,VUvtlmlBbDg
Mary J. Blige,One,0.8740000000000001,ZpDQJnI4OhU
Teena Marie,"Lead Me On - From ""Top Gun"" Original Soundtrack",0.8740000000000001,kz2wQqqfm1o
Jessie J,Brave,0.8740000000000001,o3LkricCcWA
Ruff Ryders,Some X S***,0.8740000000000001,lRQWfFPwXaM
Jonny Lang,Before You Hit The Ground,0.873,4iQmvkv2wxk
PiL Public Image Ltd,Rise,0.873,Vq7JSic1DtM
Audioslave,Cochise,0.873,KDMvN45sjo4
The Kinks,A Well Respected Man,0.873,_bQsGiiPVFo
Shania Twain,That Don't Impress Me Much,0.873,mqFLXayD6e8
Cheap Trick,"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",0.873,dCvbWvQYOmI
Justin Bieber,As Long As You Love Me,0.873,R4em3LKQCAQ
Sex Pistols,Sub-Mission,0.873,7UZ0bPaOdbQ
Gong,Beautiful,0.873,IBGYRtVqVSM
The Kooks,Ooh La,0.873,LYnUAK_PmQs
Nelly,Say It Right,0.873,6JnGBs88sL0
Dr Dre,Kush - Main,0.872,BuJDaOVz2qY
No Doubt,Hey Baby,0.872,wt1YkGO2Ieo
Tom Jones,Sexbomb,0.872,QMoXON7k--c
Chuck Berry,School Day (Ring Ring Goes The Bell),0.872,zuufgJUzmew
The Chemical Brothers,Let Forever Be,0.872,s5FyfQDO5g0
Lenny Kravitz,Fly Away,0.872,EvuL5jyCHOw
Meat Loaf,Paradise By the Dashboard Light,0.872,C11MzbEcHlw
The Moody Blues,Ride My See-Saw,0.872,mIavaAdzNK0
Amy Winehouse,Rehab,0.872,KUmZp8pR1uc
Rory Gallagher,Philby,0.872,WlEQOmGISHM
The Clash,Rock the Casbah - Remastered,0.872,dVb-NqHZ34U
Public Enemy,Can't Truss It,0.872,am9BqZ6eA5c
Hoobastank,Inside Of You,0.871,WcSZ7deAHbw
The Brothers Johnson,Celebrations,0.871,KuPbk0dBGtg
Eve,Gotta Man,0.871,NUEQ7BmGh9k
Amy Winehouse,Tears Dry On Their Own,0.871,ojdbDYahiCQ
Isaac Hayes,Hung Up On My Baby - Extended Jam,0.871,O5iqPT8f0i0
Aswad,Shine,0.871,IIw3BtSPHtI
Billy Preston,Will It Go Round In Circles,0.871,ghj5V5cUo1s
Kip Moore,She's Mine,0.871,vykhvwCSHj8
Beck,Colors,0.871,WRCA_Fo0rWA
Maddie Tae,Bathroom Floor,0.871,PIaqJOIRXbo
Nicki Minaj,Fendi (feat. Nicki Minaj & Murda Beatz),0.871,0gIcVVVN8O0
John Fogerty,Walking In A Hurricane,0.87,vTZn5lMdWyA
Lil Wayne,Uproar,0.87,GQ2juiyXk-s
Gwen Stefani,You Make It Feel Like Christmas (feat. Blake Shelton),0.87,3ZT9_H4-hbM
Helmet,Milktoast,0.87,lEnMb4m9lu0
Steve Hackett,Ace Of Wands - Remastered 2005,0.87,hCQhNIIJk-k
Toby Keith,I Wanna Talk About Me,0.87,HxUuDPNbkJk
Barry White,What Am I Gonna Do With You,0.8690000000000001,UMQ2Im2BoiM
